CP014715.1_cds_AOA66058.1_278	[locus_tag=AT250_GQ6802697]
CP014715.1_cds_AOA65791.1_279	[locus_tag=AT250_GQ6802696]
CP014715.1_cds_AOA66211.1_280	[gene=YJL049W]
CP014715.1_cds_AOA66491.1_281	[gene=UBX7]
CP014715.1_cds_AOA65393.1_282	[gene=PMA1]
CP014715.1_cds_AOA66585.1_283	[locus_tag=AT250_GQ6802692]
CP014715.1_cds_AOA66912.1_284	[gene=DPM1]
CP014715.1_cds_AOA66277.1_285	[gene=YLR407W]
CP014715.1_cds_AOA65784.1_286	[gene=VAM6]
CP014715.1_cds_AOA66772.1_287	[gene=UTP21]
CP014715.1_cds_AOA66082.1_288	[gene=VIP1]
CP014715.1_cds_AOA66360.1_289	[gene=PRS1]
CP014715.1_cds_AOA65710.1_290	[gene=BER1]
CP014715.1_cds_AOA65620.1_291	[gene=FAS1]
CP014715.1_cds_AOA66652.1_292	[gene=NTE1]
CP014715.1_cds_AOA65392.1_293	[gene=ULP2]
CP014715.1_cds_AOA66382.1_294	[gene=ERO1]
CP014715.1_cds_AOA65860.1_295	[gene=TAF13]
CP014715.1_cds_AOA65537.1_296	[locus_tag=AT250_GQ6802678]
CP014715.1_cds_AOA66040.1_297	[gene=YSH1]
CP014715.1_cds_AOA65434.1_298	[locus_tag=AT250_GQ6802676]
CP014715.1_cds_AOA66677.1_299	[locus_tag=AT250_GQ6802675]
CP014715.1_cds_AOA65832.1_300	[gene=POB3]
CP014715.1_cds_AOA66062.1_301	[gene=SUB2]
CP014715.1_cds_AOA65671.1_302	[gene=ARP6]
CP014715.1_cds_AOA65669.1_303	[gene=YDR089W]
CP014715.1_cds_AOA65593.1_304	[gene=SLU7]
CP014715.1_cds_AOA65813.1_305	[gene=RRP1]
CP014715.1_cds_AOA65437.1_306	[locus_tag=AT250_GQ6802668]
CP014715.1_cds_AOA65967.1_307	[gene=RAD4]
CP014715.1_cds_AOA65963.1_308	[locus_tag=AT250_GQ6802666]
CP014715.1_cds_AOA66034.1_309	[gene=YDR090C]
CP014715.1_cds_AOA65577.1_310	[gene=STL1]
CP014715.1_cds_AOA65729.1_311	[locus_tag=AT250_GQ6802663]
CP014715.1_cds_AOA65652.1_312	[gene=YER163C]
CP014715.1_cds_AOA65765.1_313	[gene=GAP1]
CP014715.1_cds_AOA65851.1_314	[gene=YKL091C]
CP014715.1_cds_AOA65384.1_315	[gene=ATG15]
CP014715.1_cds_AOA65424.1_316	[gene=REI1]
CP014715.1_cds_AOA66217.1_317	[locus_tag=AT250_GQ6802657]
CP014715.1_cds_AOA66478.1_318	[gene=TIM54]
CP014715.1_cds_AOA65559.1_319	[gene=TRM82]
CP014715.1_cds_AOA66633.1_320	[locus_tag=AT250_GQ6802654]
CP014715.1_cds_AOA66913.1_321	[locus_tag=AT250_GQ6802653]
CP014715.1_cds_AOA66291.1_322	[locus_tag=AT250_GQ6802652]
CP014715.1_cds_AOA66787.1_323	[gene=SSZ1]
